id,name,monthly_payment,estimated_terms,estimated_amount,report_to,payment_terms,description,terms
45,Amsterdam Printing,-,-,-,D&B and Experian Business,Net 10,"Amsterdam printing creates custom business promotions. They brand apparel. bags. calendars. drink-ware. HR forms. office supplies. etc. Approval Requirements: Just place an order and select ""Bill Me"" option.",Net 10
44,Inter-Tech Communications,-,-,-,D&B and Equifax Small Business,Net 30,To tap into the unlimited marketing potential of the internet to grow your business. there is no way around the fact that your business needs a company website. Whether you are looking to set up a basic website or update an existing one. ITC Web Services can get the work done. This is also a great way to obtain a professional company email address matching your business URL. There are several options they offer making it an ideal starter account for any business of any size. Approval Requirements: ITC is open to working with almost any business in getting approved and set up with reasonable payment terms. They will not check your personal credit nor require a personal guarantee. Your company must be listed in the 411 directory. have a business bank account and EIN number.,Net 30
43, Paramount Payment Systems,-,-,-,D&B,-,Paramount Payment Systems gives your business the ability to offer your customers payment terms on products and services you currently offer. This is a powerful way to increase sales since potential customers may not be able to afford high up-front costs associated with pricey products and/or services. This program enables you to get paid right upfront while giving your customers the ability to pay over time. This program works because it's based on the customer's checking account history not credit scores or assets they own. Approval Requirements: This program will NOT work for businesses in the following industries: Web design. Jewelers. Used Cars (unless they have a body shop or repair shop). Basic Retail. Businesses that run 100% online. TV sales. Cell phones and Car/Home audio/Finance related. To get approved you will need to provide an EIN. years in business. and 2 trade references along with basic business information. The signor on the paperwork will also need to provide basic personal information but no personal guarantor is required. You may also need to provide a voided check from the company's business checking account and most recent month's bank statement.,-
42,SupplyWorks,-,-,-,Experian Business,Net 30, SupplyWorks is a national provider of facility maintenance solutions. supplying everything from adhesives. to grounds and pool products. to security surveillance. and much more. Approval Requirements: To get approved your company must have an open Experian Business file. If you call to apply over the phone they will extend your business a $1.000 credit line approval. If you want more than $1.000 in credit than you'll need to fill out the credit application and provide 4 trade references and 1 bank reference. To get approved for higher credit limits with this vendor your business should have an Experian Intelliscore of 70+.,Net 30
41,Strategic Network Solutions,-,-,-,Creditsafe and Experian Commercial,Net 30," Strategic Network Solutions has been in business for more than 15 years and now has more than 3000 clients. Their products are all computer. electronic and productivity related. Just about every business can utilize something in their store. Approval Requirements: Once you register on their website and make an initial purchase in the amount of $60.00 or more. they then establish a $1000.00 Net 30 terms trade line of credit.

After you have established an account with their company. they incrementally increase your trade line of credit by $500.00 based on prompt payments and regular account activity.",Net 30
40,Venture Logix,-,-,-,D&B. Experian Business and Equifax Small Business,Net 30,Venture Logix provides business web hosting with 5GB of disk space. 20GB bandwidth. business webpage. unlimited email. all on Net 30 billing for $25 a month. Approval Requirements: This is a greater starter account since it's a monthly billing service that every business with a website needs already. But best of all. it reports to all three major business credit reporting agencies. They approve almost every business.,Net 30
39,Wilmar,-,-,-,Experian Business,Net 30,Wilmar is a reliable single-source provider of plumbing. janitorial. applicance and other related maintenance supplies. Approval Requirements: You business must have an open Experian business credit file to apply. If you call to apply over the phone with an open Experian business credit file they will extend your company a $1.000 credit limit. If you are aiming for more you must fill out the credit application and provide 4 trade references and 1 bank reference. An Experian Business Intelliscore of 70+ is highly recommended for higher approval limits.,Net 30
38,Maintenance USA,-,-,-,Experian Business,-,"Maintenance USA is a reliable single-source provider or quality maintenance. repair and operations (MRO) products to owners and managers of multifamily. lodging and public housing facilities. Approval Requirements: Before beginning this application. please pull together the following information: General Information on Your Business (Address. phone and fax numbers. and e-mail address). Trade References (Four of your main suppliers and their addresses and phone numbers). Bank Reference (Name of bank. account number. and address and phone number. If you would like to open an account with Maintenance USA. you may complete the following application and fax it to 1-800-333-3600. or you may call them at 1-800-283-4000 and provide the information to a representative. Ideally your company should have an existing Experian Business Credit File.

",-
37,Hardware Express,-,-,-,Experian Business,-,"Hardware Express offers everything that you would expect to find in your local hardware store. and much. much more. Approval Requirements: Before beginning this application. please pull together the following information: General Information on Your Business (Address. phone and fax numbers. and e-mail address). Trade References (Four of your main suppliers and their addresses and phone numbers). Bank Reference (Name of bank. account number. and address and phone number. Hardware Express. the ""Safety Link In Your Supply Chain. sells only to resellers in the Hardware / Home Center / Building Supply industry. If you would like to open an account with Hardware Express. you may complete the following application. or you may call them at 1-800-335-9072 and provide the information to a representative. You may also complete the application linked below and fax it to 1-800-333-3600. Ideally your company should have an existing Experian Business Credit File.

",-
36,Leran Gas Products,-,-,-,Experian Business,-," Leran Gas Products is the only national installation supply distributor in the propane gas industry. Leran is unique in an industry where all of its competitors are privately owned and regional based. It specializes in propane installation and appliance products for national and regional propane suppliers. Approval Requirements: Before beginning this application. please pull together the following information: General Information on Your Business (Address. phone and fax numbers. and e-mail address). Trade References (Four of your main suppliers and their addresses and phone numbers). Bank Reference (Name of bank. account number. and address and phone number. Hardware Express. the ""Safety Link In Your Supply Chain. sells only to resellers in the Hardware / Home Center / Building Supply industry. Leran. industry's leading business-to-business marketer and distributor. sells only to licensed businesses or licensed contractors. If you would like to open an account with Leran. you may complete the following application. or you may call them at 1-800-727-1000 and provide the information to a representative. You may also complete the application found in either their catalog or sales flyers and fax it to 1-800-333-3600. Ideally your company should have an existing Experian Business Credit file with 70+ Intelliscore for max credit limit approval.

",-
