id,lender_name,personal_credit_score,time_in_business,business_revenue,term_length,apr,strategy
30,Guidant Financial ,690,-,-,Revolving,12% – 18% (0% introductory rate for some clients for the first year),Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
29,National Business Capital ,-,6 months,$15.000 per month,6 months – 10 years,Unknown,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
28,Chase Bank Business Loans ,Unknown,Varies by product,Unknown,12 – 24 months (commercial),Variable (commercial indexed to LIBOR),Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
27,PNC Bank Small Business Loans ,650,3 years,Unknown,Up to 4 years,Fixed rate,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
26,Citibank Business Loans ,Unknown,2 years,Unknown,-,-,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
25,OnDeck ,600,12 months,$100.000 per year,3 – 36 months,0.4% – 0.43% of the borrowing amount per month,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
24,Kabbage ,-,12 months,$50.000 per year (or at least $4.200 for the last 3 months),6. 12. or 18 months,-,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
23,Fundation ,660,12 months,$100.000 per year,1 – 4 years,-,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
22,Rapid Finance ,500,"""12 months (STL) 3 months (MCA)""",No specific minimum requirement; depends on the amount borrowed,3 – 60 months,9% – 31% of the borrowing amount,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
21,Fundwise Capital ,680,None,-,6 -18 months,0% for 9 – 15 months. 1% – 2%/month after,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
