id,lender_name,personal_credit_score,time_in_business,business_revenue,term_length,apr,strategy
90,	LOAN BUILDER,550 or above,	9 months,	$42.000 PER YEAR,	13-42 Weeks,8%+,-
89,	LENDIO,	550,	6months,	$10k per month,	1-2 years,	8-24%,-
88,OnDeck,-,-,-,-,-,-
87,	FUNDATION,	660,	12 months,	$100.000 per year,	1 – 4 years,8%+,-
86,	IOU FINANCIAL,	600,12 Months,	$120.000 per year and $3.000 avg. daily balance over a 3-month period,	6. 9. 12. 15. or 18 months (minimum $80.000 for loans of 18 months),8%+,-
85,	SMARTBIZ,	650,2 Years,	150,	10 years,	Variable. prime rate + 3.75% (loans of $30K – $49K),-
84,	BREAKOUT CAPITAL,	600,	1 year,	$10.000 per month,	Up to 24 months,8%+,-
83,	BLUE VINE,	530,	3Months,	$100.000 per year,-,8%+,-
82,	FUND BOX,-,	No specific time in business,	$50K per year,	12 - 24 months,8%+,-
81,	AMERICAN EXPRESS,	Unknown,	12Months,	$50.000 per year,	6. 12. or 24 months,8%+,-
80,	STREET SHARES,	$620,	2years and sometimes 6months,	$100.000,	3-36months,8%+,-
79,	FUNDERA,-,	No specific requiremens,-,-,8%+,-
78,	ABLE,	600,	12months,	$100k per year,	1-5Years,	8% – 23%,-
77,	ACCION,	575 (550 in some places),-,Must have sufficient cash flow to repay the loan,	Varies by product,	7% – 34% APR,-
76,	AMAZON,-,-,-,-,8%+,-
75,	APPLE PIE CAPITAL,-,-,-,3 - 7 years,8%+,-
74,	AVANT,	Minimum 580 (but 600 - 700 is typical),-,	N/A,	2 - 5 years,8%+,-
73,	BACKED,	Minimum of 660,	Minimum of 6 months,Minimum of $18K annually,	1 – 3 years,	2.24% – 14.54%,-
72,	BALBOA CAPITAL,	N/A,	12Months,	$300K/yr (STL),	3 -24 months (STL,8%+,-
71,	BEHALF,-,-,-,-,8%+,-
70,	BENETRENDS,-,-,-,	Up to 25years,8%+,-
69,	BEST EGGS,	640,-,	N/A,	3-5Years,	Unknown,-
68,	BFS CAPITAL,	550,	12months,	$100k per year,	4-21months,8%+,-
67,	BIZ2CREDIT,-,-,-,-,8%+,-
66,	BOND STREET,	640,	2Years,	$200k per year,	1-3years,	6%-22%,-
65,	CAN CAPITAL,	550,	4months,	$4.5k per month,	6 – 18 months,8%+,-
64,	CAPFUSION,	500,	12 months,	$10K/mo, 3 – 12 months,x1.18 – x1.24,-
63,	CAPITFY,	UNKNOWN,	12 months,-,	6-15 months,8%+,-
62,	CAPITAL ONE,-,-,-,	1 – 5 years,	Fixed monthly payments,-
61,	CASHBLOOM,	Unknown,	1 month (MCA),	$5000 Per month,	3-24months,8%+,-
60,	CELTIC BANK,	640,-,	Varies by loan amount,	Up to 25 years,Variable,-
59,	CHASE BUSINESS,	unknown,Varies by product,	unknown,12-24months,	variable,-
58,	CHASE EQUIPMENT FINANCING,	UNKNOWN,	UNKNOWN,	$20 million – $20 billion ,-,8%+,-
