,cc_name,min_credit_score,credit_bureau,debt_ratio,bankruptcy,credit_data,apr,misc_info,url
0,Milestone Mastercard,440,EX. EQ. TU but mainly TU,50% + has been approved.,Dismissed/descharged 1 day,Past delinquencies have little impact. recent negative marks create a chance of being denied but can still be approved.,23.90%,New Credit accounts are ok. Valid social. physical address. and IP address in the U>S. required.,https://www.milestonegoldcard.com
1,American Express EveryDay,640,EX. EQ and TU,35% averaged over 6 months,8 months - 2 years after discharge depending on creditworthiness.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,0% intro APR on purchases and balance transfer for 15 months. then a variable APR. 14.49% to 25.49%.,Amex will automatically decline your application if you've applied/opened more than 2 credit cards within last 90days. You can have up to 5 AMEX credit cards.,https://www.americanexpress.com
2,Discover it Gas and Restaurant.,680,EX. EQ and TU,43.00%,-,No delinquency in the last year but the look at up to 7 years.,0% APR on purchases and balance transfer for the first 14 months then 13.49% to 24.49% APR.,The highest approval limits are on applicant's with at least 3 years of credit. Discover will only approve additional discover credit accounts after 1 full year from initial account apening.,www.discover.com
3,American Express EveryDay Preferred,640,EX. EQ and TU,35% averaged over 6 months,Auto decline if bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,0% intro APR on purchases and balance transfer for 12 months. then a variable APR. 14.49% to 25.49%.,Amex will automatically decline your application if you've applied/opened more than 2 credit cards within last 90days. You can have up to 5 AMEX credit cards.,www.americanexpress.com
4,Bank of America BankAmericaard,660,EX,30%,8-10 years post discharge/dismissal,Strongly impacts odds. You can be denied with delinquencies as old as 7 years.,15.99-24.99 variable.,The longer your credit history is positive the more likely you are for approval. They do however have rules pertaining to how many Bank of America credit card accounts you can be approved for at one time. They follow the 2/3/4 rule: 2 cards per 2 rolling months. 3 cards per 12 rolling months. and 4 cards per 24 rolling months.,www.bankofamerica.com
5,Chase Freedom.,620,EX. EQ and TU,40.00%,Auto decline if bankruptcy is on credit report. .,Individual to applicant but they prefer no negative marks within 5 years. If there is a negative mark within five years the freedom card may have better chances.,0% intro APR for 15 months. then a variable APR of 16.49% - 25.24%,Must have a minimum of three accounts in good standing over the past 24 months.,www.chase.com
6,Capital one QuicksilverOne Rewards,620,EX. EQ and TU,40%,Minimum of two years after bankruptcy discharge date with current credit in the Average range.,0% intro APR for 15 months. 14.49% - 24.49% variable.,0% intro APR on purchases and balance transfer for 15 months. then a variable APR. 14.49% to 25.49%.,-,www.capitalone.com
7,U.S. Bank Visa Platinum,660,EX. EQ and TU,36%,Discharge/dismissed 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",0% intro APR for 18 billing cycles then 11.49% - 23.49% variable.,You must be a pre-existing U.S. Bank customer for a least 35 days to be eligible. Credit history of at least 2 years is recommended. There is not a maximum number of U.S. bank credit cards that you may have ay one time.,www.usbank.com
8,Citi Simplicity,660,EX. EQ split 90% of the time and TU 10%,40%,Auto decline until at least 7 years after bankruptcy discharge.,Individialized to applicant but you can be denied with as little as one open collection on your report.,0% intro APR for 18 months then the variable APR will be 15.49% - 25.49%,You must have at least 1 year of credit history. There is no limit to the amount of credit cards you can have with Citibank. You can only apply for one Citi personal card every 8 days. You can apply for no more than two Citi personal cards every 65 days.,www.citi.com
9,Navy Federal Credit Card,520,EX. EQ. TU,50% + has been approved.,Dismissed/descharged 1 day.,Past delinquencies have little impact. recent negative marks create a chance of being denied but can still be approved. Prefer none within last 12 months.,11.15% - 18.0% variable.,You must be a Navy Federal member prior to applying for the credit card.,www.navyfederal.org
